10-09 10:26:21.058|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSSmh0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTI4ODEvY29udGVudC9TRUdBIFNtYXNoIFBhY2sgKFVTQSkuemlwGhlTRUdBIFNtYXNoIFBhY2sgKFVTQSkuemlw from RomM plugin
10-09 10:26:21.058|DEBUG|Downloader:Downloading data from https://images.igdb.com/igdb/image/upload/t_1080p/co2f58.jpg to C:\Users\Alex\AppData\Local\Temp\Playnite\490d67bb-ab06-443b-8f26-15568ebdfd3c.jpg.
10-09 10:26:21.083|DEBUG|FileSystem:Copying file C:\Users\Alex\AppData\Local\Temp\Playnite\490d67bb-ab06-443b-8f26-15568ebdfd3c.jpg to C:\Users\Alex\AppData\Roaming\Playnite\library\files\4a06bceb-88da-491a-b6f3-45913541a758\f26f3421-f979-4561-9a91-da82248f92a5.jpg
10-09 10:26:21.083|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSU2h0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTMzNjIvY29udGVudC9TZW5nb2t1IEtha3VtZWkgR2FpZGVuIChKYXBhbikuemlwGiJTZW5nb2t1IEtha3VtZWkgR2FpZGVuIChKYXBhbikuemlw from RomM plugin
10-09 10:26:21.089|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSUmh0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTI0NDMvY29udGVudC9TZW5uZW4gS2F6b2t1IChKYXBhbikgKFJldiAxKS56aXAaIVNlbm5lbiBLYXpva3UgKEphcGFuKSAoUmV2IDEpLnppcA== from RomM plugin
10-09 10:26:21.089|DEBUG|Downloader:Downloading data from https://images.igdb.com/igdb/image/upload/t_1080p/co6uzn.jpg to C:\Users\Alex\AppData\Local\Temp\Playnite\271513d2-c49c-4fa7-9b90-07b7a594622c.jpg.
10-09 10:26:21.244|DEBUG|FileSystem:Copying file C:\Users\Alex\AppData\Local\Temp\Playnite\271513d2-c49c-4fa7-9b90-07b7a594622c.jpg to C:\Users\Alex\AppData\Roaming\Playnite\library\files\927cd4d5-ae6b-4a5d-8c82-bcb364759bb9\b5c1d6a1-de2e-4c24-8080-949e18db15d6.jpg
10-09 10:26:21.244|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSU2h0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTI5MTcvY29udGVudC9TZW50b3VpbiBZYW1hZGEgSGFqaW1lIChKYXBhbikuemlwGiJTZW50b3VpbiBZYW1hZGEgSGFqaW1lIChKYXBhbikuemlw from RomM plugin
10-09 10:26:21.244|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSWWh0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTI1MzAvY29udGVudC9TZXJpb3VzIFNhbSBBZHZhbmNlIChVU0EpIChFbixGcixEZSkuemlwGihTZXJpb3VzIFNhbSBBZHZhbmNlIChVU0EpIChFbixGcixEZSkuemlw from RomM plugin
10-09 10:26:21.244|DEBUG|Downloader:Downloading data from https://images.igdb.com/igdb/image/upload/t_1080p/co3a0b.jpg to C:\Users\Alex\AppData\Local\Temp\Playnite\6c3c19a4-ba58-444a-b8b7-f3fa813d57ae.jpg.
